company_name,contact_name,contact_person_designation,industry_sector,email_id,contact_number,,,,,,,,,,,,,,,,,,,,,,,,,,
FinServe Technologies,Ramesh Iyer,Director - Operations,Financial Services,ramesh.iyer@finserve.com,9123456689,,,,,,,,,,,,,,,,,,,,,,,,,,
RetailHub Solutions,Sneha Kapoor,VP - Human Resources,Retail & E-commerce,sneha.kapoor@retailhub.com,9234567800,,,,,,,,,,,,,,,,,,,,,,,,,,
MediCare Hospitals,Dr. Ashok Patil,Chief Administrator,Healthcare,ashok.patil@medicare.com,9345678811,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMotive Dynamics,Suresh Pillai,Head - Talent Management,Automotive,suresh.pillai@autodynamics.com,9456788922,,,,,,,,,,,,,,,,,,,,,,,,,,
EduTech Learning,Kiran Bose,Co-Founder & COO,Education Technology,kiran.bose@edutech.com,9567890033,,,,,,,,,,,,,,,,,,,,,,,,,,
LogistiCorp India,Mahesh Chandra,General Manager - HR,Logistics & Supply Chain,mahesh.chandra@logisticorp.com,9678901144,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaCure Labs,Dr. Vidya Shankar,VP - Corporate Affairs,Pharmaceuticals,vidya.shankar@pharmacure.com,9789012255,,,,,,,,,,,,,,,,,,,,,,,,,,
ConstructBuild Infra,Rajendra Singh,Project Director,Infrastructure & Construction,rajendra.singh@constructbuild.com,9890123366,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudNine Systems,Aruna Subramanian,Director - People & Culture,Cloud Computing,aruna.subramanian@cloudnine.com,9901234477,,,,,,,,,,,,,,,,,,,,,,,,,,
FoodChain Retail,Manpreet Kaur,Head - Recruitment,Food & Beverage,manpreet.kaur@foodchain.com,9012345588,,,,,,,,,,,,,,,,,,,,,,,,,,
InsureTech Solutions,Anil Deshmukh,Chief Human Resources Officer,Insurance,anil.deshmukh@insuretech.com,9123456610,,,,,,,,,,,,,,,,,,,,,,,,,,
TeleConnect Services,Ravi Shankar,VP - Operations,Telecommunications,ravi.shankar@teleconnect.com,9234567721,,,,,,,,,,,,,,,,,,,,,,,,,,
GreenEnergy Power,Naveen Reddy,Head - HR & Admin,Renewable Energy,naveen.reddy@greenenergy.com,9345678832,,,,,,,,,,,,,,,,,,,,,,,,,,
BankTech Financial,Sunil Mehta,Senior VP - Talent Acquisition,Banking Technology,sunil.mehta@banktech.com,9456788943,,,,,,,,,,,,,,,,,,,,,,,,,,
TravelEase Platforms,Priya Nambiar,Co-Founder & Head of People,Travel & Hospitality,priya.nambiar@travelease.com,9567890054,,,,,,,,,,,,,,,,,,,,,,,,,,
ChemCorp Industries,Bharat Patel,General Manager - Human Resources,Chemicals,bharat.patel@chemcorp.com,9678901165,,,,,,,,,,,,,,,,,,,,,,,,,,
MediaCraft Studios,Aditi Sharma,Head - Talent & Production,Media & Entertainment,aditi.sharma@mediacraft.com,9789012276,,,,,,,,,,,,,,,,,,,,,,,,,,
AgroTech Ventures,Mohan Gowda,Director - Operations,Agriculture Technology,mohan.gowda@agrotech.com,9890123387,,,,,,,,,,,,,,,,,,,,,,,,,,
SecureNet Cybersecurity,Amit Srivastava,CEO,Cybersecurity,amit.srivastava@securenet.com,9901234498,,,,,,,,,,,,,,,,,,,,,,,,,,
SportsFit Wellness,Deepak Thakur,Founder & COO,Fitness & Wellness,deepak.thakur@sportsfit.com,9012345599,,,,,,,,,,,,,,,,,,,,,,,,,,
